Will train until valid error hasn't decreased in 150 rounds.
[0]	train-auc:0.821707	valid-auc:0.668684
[1]	train-auc:0.869992	valid-auc:0.736902
[2]	train-auc:0.878310	valid-auc:0.764495
[3]	train-auc:0.898937	valid-auc:0.789293
[4]	train-auc:0.904995	valid-auc:0.805526
[5]	train-auc:0.905305	valid-auc:0.816680
[6]	train-auc:0.906194	valid-auc:0.814938
[7]	train-auc:0.907866	valid-auc:0.820543
[8]	train-auc:0.917297	valid-auc:0.826850
[9]	train-auc:0.918599	valid-auc:0.829341
[10]	train-auc:0.918195	valid-auc:0.828770
[11]	train-auc:0.922361	valid-auc:0.832439
[12]	train-auc:0.922061	valid-auc:0.831868
[13]	train-auc:0.925572	valid-auc:0.831737
[14]	train-auc:0.926448	valid-auc:0.834364
[15]	train-auc:0.928232	valid-auc:0.838929
[16]	train-auc:0.928417	valid-auc:0.837841
[17]	train-auc:0.929582	valid-auc:0.843902
[18]	train-auc:0.931950	valid-auc:0.842351
[19]	train-auc:0.933890	valid-auc:0.842225
[20]	train-auc:0.937044	valid-auc:0.841942
[21]	train-auc:0.937251	valid-auc:0.846481
[22]	train-auc:0.939020	valid-auc:0.845454
[23]	train-auc:0.939571	valid-auc:0.845466
[24]	train-auc:0.941618	valid-auc:0.846637
[25]	train-auc:0.942856	valid-auc:0.847083
[26]	train-auc:0.943731	valid-auc:0.852277
[27]	train-auc:0.943674	valid-auc:0.853996
[28]	train-auc:0.944195	valid-auc:0.853813
[29]	train-auc:0.944055	valid-auc:0.853477
[30]	train-auc:0.944528	valid-auc:0.853046
[31]	train-auc:0.944653	valid-auc:0.853533
[32]	train-auc:0.945467	valid-auc:0.854059
[33]	train-auc:0.946268	valid-auc:0.853660
[34]	train-auc:0.946953	valid-auc:0.854061
[35]	train-auc:0.947454	valid-auc:0.854819
[36]	train-auc:0.947797	valid-auc:0.854538
[37]	train-auc:0.947731	valid-auc:0.854668
[38]	train-auc:0.947771	valid-auc:0.853901
[39]	train-auc:0.948282	valid-auc:0.854337
[40]	train-auc:0.948632	valid-auc:0.853555
[41]	train-auc:0.949820	valid-auc:0.854129
[42]	train-auc:0.951188	valid-auc:0.852846
[43]	train-auc:0.951275	valid-auc:0.852264
[44]	train-auc:0.951381	valid-auc:0.852926
[45]	train-auc:0.951298	valid-auc:0.852565
[46]	train-auc:0.951753	valid-auc:0.853044
[47]	train-auc:0.951877	valid-auc:0.852136
[48]	train-auc:0.951965	valid-auc:0.851760
[49]	train-auc:0.952146	valid-auc:0.852119
[50]	train-auc:0.952275	valid-auc:0.851948
[51]	train-auc:0.952732	valid-auc:0.851106
[52]	train-auc:0.953082	valid-auc:0.851956
[53]	train-auc:0.953092	valid-auc:0.852500
[54]	train-auc:0.953524	valid-auc:0.852510
[55]	train-auc:0.953766	valid-auc:0.853889
[56]	train-auc:0.953642	valid-auc:0.853693
[57]	train-auc:0.953663	valid-auc:0.852893
[58]	train-auc:0.954068	valid-auc:0.852126
[59]	train-auc:0.954220	valid-auc:0.852141
[60]	train-auc:0.954255	valid-auc:0.851520
[61]	train-auc:0.954271	valid-auc:0.852232
[62]	train-auc:0.954353	valid-auc:0.852126
[63]	train-auc:0.954222	valid-auc:0.851349
[64]	train-auc:0.954369	valid-auc:0.850868
[65]	train-auc:0.954570	valid-auc:0.850688
[66]	train-auc:0.955763	valid-auc:0.851114
[67]	train-auc:0.956521	valid-auc:0.852277
[68]	train-auc:0.956724	valid-auc:0.852462
[69]	train-auc:0.956949	valid-auc:0.852703
[70]	train-auc:0.957866	valid-auc:0.853109
[71]	train-auc:0.957965	valid-auc:0.852828
[72]	train-auc:0.958374	valid-auc:0.852362
[73]	train-auc:0.958699	valid-auc:0.851981
[74]	train-auc:0.958918	valid-auc:0.853375
[75]	train-auc:0.959552	valid-auc:0.853625
[76]	train-auc:0.959515	valid-auc:0.853325
[77]	train-auc:0.959638	valid-auc:0.853099
[78]	train-auc:0.959700	valid-auc:0.853510
[79]	train-auc:0.959670	valid-auc:0.853600
[80]	train-auc:0.959708	valid-auc:0.854252
[81]	train-auc:0.960361	valid-auc:0.854793
[82]	train-auc:0.960456	valid-auc:0.855064
[83]	train-auc:0.960676	valid-auc:0.854808
[84]	train-auc:0.960680	valid-auc:0.855049
[85]	train-auc:0.960627	valid-auc:0.855001
[86]	train-auc:0.960647	valid-auc:0.855052
[87]	train-auc:0.960811	valid-auc:0.854605
[88]	train-auc:0.960838	valid-auc:0.854666
[89]	train-auc:0.961300	valid-auc:0.855042
[90]	train-auc:0.961233	valid-auc:0.855007
[91]	train-auc:0.961316	valid-auc:0.855202
[92]	train-auc:0.961421	valid-auc:0.855663
[93]	train-auc:0.961496	valid-auc:0.857107
[94]	train-auc:0.962245	valid-auc:0.856390
[95]	train-auc:0.962567	valid-auc:0.856245
[96]	train-auc:0.962630	valid-auc:0.856997
[97]	train-auc:0.962907	valid-auc:0.857202
[98]	train-auc:0.963068	valid-auc:0.857373
[99]	train-auc:0.963249	valid-auc:0.856947
[100]	train-auc:0.963267	valid-auc:0.858055
[101]	train-auc:0.963305	valid-auc:0.857483
[102]	train-auc:0.963525	valid-auc:0.858591
[103]	train-auc:0.963627	valid-auc:0.858664
[104]	train-auc:0.964207	valid-auc:0.858300
[105]	train-auc:0.965111	valid-auc:0.859243
[106]	train-auc:0.965343	valid-auc:0.859393
[107]	train-auc:0.965599	valid-auc:0.860772
[108]	train-auc:0.966012	valid-auc:0.861123
[109]	train-auc:0.966818	valid-auc:0.861022
[110]	train-auc:0.966803	valid-auc:0.861188
[111]	train-auc:0.966850	valid-auc:0.861148
[112]	train-auc:0.967181	valid-auc:0.860807
[113]	train-auc:0.967155	valid-auc:0.860997
[114]	train-auc:0.967139	valid-auc:0.861128
[115]	train-auc:0.967348	valid-auc:0.860872
[116]	train-auc:0.967629	valid-auc:0.860316
[117]	train-auc:0.967646	valid-auc:0.860290
[118]	train-auc:0.968146	valid-auc:0.860421
[119]	train-auc:0.968395	valid-auc:0.861123
[120]	train-auc:0.968486	valid-auc:0.861113
[121]	train-auc:0.968517	valid-auc:0.861058
[122]	train-auc:0.968721	valid-auc:0.861068
[123]	train-auc:0.968780	valid-auc:0.861318
[124]	train-auc:0.968754	valid-auc:0.860962
[125]	train-auc:0.969221	valid-auc:0.861238
[126]	train-auc:0.969232	valid-auc:0.861764
[127]	train-auc:0.969568	valid-auc:0.862040
[128]	train-auc:0.969565	valid-auc:0.861694
[129]	train-auc:0.969691	valid-auc:0.861724
[130]	train-auc:0.969865	valid-auc:0.862040
[131]	train-auc:0.969912	valid-auc:0.862065
[132]	train-auc:0.970082	valid-auc:0.862040
[133]	train-auc:0.970150	valid-auc:0.861870
[134]	train-auc:0.970787	valid-auc:0.862060
[135]	train-auc:0.971144	valid-auc:0.862386
[136]	train-auc:0.971556	valid-auc:0.862732
[137]	train-auc:0.971662	valid-auc:0.862521
[138]	train-auc:0.971895	valid-auc:0.862266
[139]	train-auc:0.972174	valid-auc:0.862020
[140]	train-auc:0.972390	valid-auc:0.861975
[141]	train-auc:0.972394	valid-auc:0.861840
[142]	train-auc:0.972778	valid-auc:0.861564
[143]	train-auc:0.972853	valid-auc:0.861664
[144]	train-auc:0.973046	valid-auc:0.861569
[145]	train-auc:0.973123	valid-auc:0.861809
[146]	train-auc:0.973348	valid-auc:0.862070
[147]	train-auc:0.973482	valid-auc:0.862998
[148]	train-auc:0.974124	valid-auc:0.863248
[149]	train-auc:0.974373	valid-auc:0.863083
[150]	train-auc:0.974469	valid-auc:0.863058
[151]	train-auc:0.974710	valid-auc:0.863875
[152]	train-auc:0.975105	valid-auc:0.863865
[153]	train-auc:0.975223	valid-auc:0.863950
[154]	train-auc:0.975625	valid-auc:0.864171
[155]	train-auc:0.975751	valid-auc:0.864401
[156]	train-auc:0.975893	valid-auc:0.865068
[157]	train-auc:0.976014	valid-auc:0.865078
[158]	train-auc:0.976163	valid-auc:0.865008
[159]	train-auc:0.976437	valid-auc:0.865068
[160]	train-auc:0.976592	valid-auc:0.864737
[161]	train-auc:0.976795	valid-auc:0.864477
[162]	train-auc:0.977051	valid-auc:0.863975
[163]	train-auc:0.977371	valid-auc:0.863740
[164]	train-auc:0.977446	valid-auc:0.863679
[165]	train-auc:0.977460	valid-auc:0.863840
[166]	train-auc:0.977751	valid-auc:0.863925
[167]	train-auc:0.978114	valid-auc:0.864015
[168]	train-auc:0.978184	valid-auc:0.864000
[169]	train-auc:0.978259	valid-auc:0.863950
[170]	train-auc:0.978344	valid-auc:0.864301
[171]	train-auc:0.978670	valid-auc:0.864682
[172]	train-auc:0.978705	valid-auc:0.864456
[173]	train-auc:0.978790	valid-auc:0.864472
[174]	train-auc:0.979005	valid-auc:0.864441
[175]	train-auc:0.979094	valid-auc:0.864547
[176]	train-auc:0.979194	valid-auc:0.864547
[177]	train-auc:0.979346	valid-auc:0.864677
[178]	train-auc:0.979471	valid-auc:0.864878
[179]	train-auc:0.979846	valid-auc:0.865770
[180]	train-auc:0.979934	valid-auc:0.865865
[181]	train-auc:0.980109	valid-auc:0.865965
[182]	train-auc:0.980270	valid-auc:0.865514
[183]	train-auc:0.980393	valid-auc:0.865419
[184]	train-auc:0.980547	valid-auc:0.865519
[185]	train-auc:0.980620	valid-auc:0.865584
[186]	train-auc:0.980772	valid-auc:0.865504
[187]	train-auc:0.980971	valid-auc:0.865600
[188]	train-auc:0.981115	valid-auc:0.865349
[189]	train-auc:0.981289	valid-auc:0.865048
[190]	train-auc:0.981457	valid-auc:0.864860
[191]	train-auc:0.981666	valid-auc:0.864637
[192]	train-auc:0.981910	valid-auc:0.864612
[193]	train-auc:0.981941	valid-auc:0.864552
[194]	train-auc:0.981958	valid-auc:0.864532
[195]	train-auc:0.982059	valid-auc:0.864592
[196]	train-auc:0.982280	valid-auc:0.864549
[197]	train-auc:0.982454	valid-auc:0.864853
[198]	train-auc:0.982750	valid-auc:0.864868
[199]	train-auc:0.982777	valid-auc:0.865008
[200]	train-auc:0.982949	valid-auc:0.864928
[201]	train-auc:0.982979	valid-auc:0.864983
[202]	train-auc:0.983346	valid-auc:0.864732
[203]	train-auc:0.983410	valid-auc:0.865319
[204]	train-auc:0.983459	valid-auc:0.865630
[205]	train-auc:0.983558	valid-auc:0.865725
[206]	train-auc:0.983599	valid-auc:0.866016
[207]	train-auc:0.983676	valid-auc:0.866156
[208]	train-auc:0.983766	valid-auc:0.866061
[209]	train-auc:0.983747	valid-auc:0.866176
[210]	train-auc:0.983914	valid-auc:0.866572
[211]	train-auc:0.984112	valid-auc:0.866672
[212]	train-auc:0.984437	valid-auc:0.866953
[213]	train-auc:0.984470	valid-auc:0.867053
[214]	train-auc:0.984578	valid-auc:0.866938
[215]	train-auc:0.984707	valid-auc:0.867063
[216]	train-auc:0.984891	valid-auc:0.867109
[217]	train-auc:0.984977	valid-auc:0.867279
[218]	train-auc:0.985049	valid-auc:0.867464
[219]	train-auc:0.985282	valid-auc:0.867720
[220]	train-auc:0.985400	valid-auc:0.867660
[221]	train-auc:0.985585	valid-auc:0.867515
[222]	train-auc:0.985623	valid-auc:0.867234
[223]	train-auc:0.985881	valid-auc:0.867329
[224]	train-auc:0.986017	valid-auc:0.867389
[225]	train-auc:0.986124	valid-auc:0.867264
[226]	train-auc:0.986279	valid-auc:0.867419
[227]	train-auc:0.986404	valid-auc:0.867274
[228]	train-auc:0.986513	valid-auc:0.867590
[229]	train-auc:0.986620	valid-auc:0.867565
[230]	train-auc:0.986641	valid-auc:0.867615
[231]	train-auc:0.986806	valid-auc:0.867635
[232]	train-auc:0.986999	valid-auc:0.867500
[233]	train-auc:0.987063	valid-auc:0.867244
[234]	train-auc:0.987242	valid-auc:0.867725
[235]	train-auc:0.987457	valid-auc:0.867625
[236]	train-auc:0.987467	valid-auc:0.867635
[237]	train-auc:0.987600	valid-auc:0.867770
[238]	train-auc:0.987703	valid-auc:0.867690
[239]	train-auc:0.987823	valid-auc:0.867570
[240]	train-auc:0.987979	valid-auc:0.867911
[241]	train-auc:0.988083	valid-auc:0.867951
[242]	train-auc:0.988218	valid-auc:0.868171
[243]	train-auc:0.988397	valid-auc:0.867780
[244]	train-auc:0.988543	valid-auc:0.868111
[245]	train-auc:0.988667	valid-auc:0.868106
[246]	train-auc:0.988738	valid-auc:0.868121
[247]	train-auc:0.988857	valid-auc:0.868422
[248]	train-auc:0.988857	valid-auc:0.868231
[249]	train-auc:0.988945	valid-auc:0.868116
[250]	train-auc:0.989088	valid-auc:0.868176
[251]	train-auc:0.989178	valid-auc:0.868257
[252]	train-auc:0.989239	valid-auc:0.868287
[253]	train-auc:0.989277	valid-auc:0.868367
[254]	train-auc:0.989387	valid-auc:0.868582
[255]	train-auc:0.989475	valid-auc:0.869019
[256]	train-auc:0.989547	valid-auc:0.868818
[257]	train-auc:0.989628	valid-auc:0.868718
[258]	train-auc:0.989769	valid-auc:0.868968
[259]	train-auc:0.989881	valid-auc:0.868828
[260]	train-auc:0.989983	valid-auc:0.868798
[261]	train-auc:0.990010	valid-auc:0.868778
[262]	train-auc:0.990125	valid-auc:0.868557
[263]	train-auc:0.990172	valid-auc:0.868908
[264]	train-auc:0.990181	valid-auc:0.868968
[265]	train-auc:0.990278	valid-auc:0.869154
[266]	train-auc:0.990382	valid-auc:0.869044
[267]	train-auc:0.990519	valid-auc:0.869470
[268]	train-auc:0.990605	valid-auc:0.869400
[269]	train-auc:0.990657	valid-auc:0.869354
[270]	train-auc:0.990732	valid-auc:0.869194
[271]	train-auc:0.990853	valid-auc:0.869264
[272]	train-auc:0.990928	valid-auc:0.869299
[273]	train-auc:0.991031	valid-auc:0.869149
[274]	train-auc:0.991144	valid-auc:0.869475
[275]	train-auc:0.991215	valid-auc:0.869675
[276]	train-auc:0.991301	valid-auc:0.869806
[277]	train-auc:0.991374	valid-auc:0.869766
[278]	train-auc:0.991458	valid-auc:0.869761
[279]	train-auc:0.991545	valid-auc:0.869565
[280]	train-auc:0.991645	valid-auc:0.870227
[281]	train-auc:0.991728	valid-auc:0.870337
[282]	train-auc:0.991855	valid-auc:0.870392
[283]	train-auc:0.991912	valid-auc:0.870442
[284]	train-auc:0.992015	valid-auc:0.870623
[285]	train-auc:0.992118	valid-auc:0.870748
[286]	train-auc:0.992154	valid-auc:0.870653
[287]	train-auc:0.992234	valid-auc:0.870512
[288]	train-auc:0.992336	valid-auc:0.870432
